n_estimators, cross_val_score, training_score, testing_score
10,0.525817545430496, 1.0, 0.5178306092124815
20,0.5302720742353635, 1.0, 0.5170876671619614
30,0.5213538593028224, 1.0, 0.5200594353640416
40,0.5293146252620012, 1.0, 0.5111441307578009
50,0.5251785677947132, 1.0, 0.5156017830609212
60,0.5334649274536538, 1.0, 0.513372956909361
70,0.5264565230662785, 1.0, 0.5163447251114414
80,0.5302751266762987, 1.0, 0.5185735512630015
90,0.5200840438737511, 1.0, 0.5222882615156018
100,0.5248509391343278, 1.0, 0.5215453194650818
110,0.520392340408213, 1.0, 0.5230312035661219
120,0.5289961539244216, 1.0, 0.5237741456166419
130,0.5321900246230236, 1.0, 0.5215453194650818
140,0.5366526932703852, 1.0, 0.5260029717682021
150,0.5235841761461916, 1.0, 0.5230312035661219
160,0.5254950041716693, 1.0, 0.5141158989598811
170,0.5267668545613642, 1.0, 0.5208023774145617
180,0.5321910421033353, 1.0, 0.525260029717682
190,0.5267749944038583, 1.0, 0.5185735512630015
200,0.5274109195987058, 1.0, 0.5260029717682021
210,0.5223143607171201, 1.0, 0.5208023774145617
220,0.5213619991453166, 1.0, 0.512630014858841
230,0.5251734803931544, 1.0, 0.512630014858841
240,0.5274017622758999, 1.0, 0.5222882615156018
250,0.5289981888850451, 1.0, 0.525260029717682
